NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
0.219298246,0.406830437,0.620985011,0.84114053,0.982545159,0.168539326,0.784435513,0.203078239,0.182608696,0.256803563,0.381433381,0.485465906
0.290998767,0.260493005,0.473619632,0.485981308,0.65012205,0.133713284,1,0.694864048,0.665846567,0.657620042,0.687118194,0.72255489
0.119565217,0.142857143,0.124229979,0.318060328,0.185723728,0.169022046,0.510106201,0.238587425,0.101851852,0.187603763,0.160437033,0.304825901
0.242506812,0.235009671,0.282532239,0.393004115,0.318596828,0.168026101,0.767210788,0.32599492,0.232826187,0.341040462,0.33126935,0.440539781
0.312309257,0.350049164,0.657402155,0.818030744,0.982894287,0.213175231,0.591485048,0.517811705,0.670632436,0.794136808,0.791588535,0.792853912
0.321671526,0.347889374,0.520295203,0.801801802,0.807078418,0.19169077,0.645297146,0.542034371,0.657990484,0.678939617,0.545566502,0.469240048
0.539442231,0.654525386,0.802994484,0.794639175,0.748755724,0.203883495,0.521853607,0.500385109,0.732360097,0.678599425,0.69073992,0.441860465
0.448894202,0.637074932,0.791022256,0.795502758,0.907660384,0.220501869,0.500664717,0.519065191,0.774735532,0.777909739,0.757083242,0.599672198
0.093877551,0.414077362,0.606706252,0.829397055,0.981456954,0.802223523,0.728431016,0.207792208,0.453690904,0.542827657,0.795833333,0.665679677
0.123271889,0.30738255,0.646668876,0.859361762,0.983011583,0.810659996,0.774656131,0.21945433,0.47734223,0.571895425,0.788806758,0.794801642
0.122871947,0.294820717,0.757071547,0.956206897,0.983082015,0.65879948,0.542567699,0.223319229,0.545952918,0.770221904,0.845016267,0.761646804
0.103857567,0.280722892,0.709363712,0.976893453,0.937194993,0.772108191,0.346062053,0.299834346,0.612573674,0.808600065,0.875650665,0.836133368
0.136399683,0.220178042,0.778516058,0.938148525,0.942726231,0.784479447,0.748471939,0.192077384,0.539036235,0.834599156,0.845914742,0.785210348
0.139393939,0.242030697,0.824457594,0.947426879,0.946868403,0.749559083,0.632408102,0.176,0.498219489,0.849221524,0.864451246,0.803590285
0.110041265,0.145879733,0.54026535,0.814608105,0.920069884,0.812252964,0.824664584,0.254769921,0.138632163,0.147023086,0.11856171,0.117986366
0.142857143,0.218468468,0.684763573,0.963438914,0.991395206,0.829846583,0.811371237,0.180743243,0.248880358,0.592760181,0.888257576,0.866176132
0.09623431,0.08784043,0.485624673,0.848895582,1,0.81399883,0.813371469,0.244751222,0.540905481,0.760797342,0.83130484,0.791319345
0.115714286,0.342289092,0.750242014,0.894840878,0.955466265,0.787785739,0.735298882,0.235662148,0.504630855,0.798283262,0.821853265,0.776909934
0.102564103,0.08,0.419555096,0.78952164,0.966336634,0.792619425,0.814793468,0.257905425,0.508548708,0.777001456,0.834146341,0.782872556
0.381534284,0.473684211,0.837692496,0.932073774,0.994563107,0.78939034,0.794133924,0.291206363,0.403652968,0.275275275,0.343837929,0.264843229
0.127094972,0.079638399,0.145774248,0.743145743,0.974367856,0.811280406,0.909751817,0.754934211,0.764654798,0.237140084,0.227208314,0.098258706
0.115241636,0.090188305,0.136853448,0.59160029,0.87226776,0.75601173,0.901513537,0.781520053,0.840739111,0.667240955,0.290981478,0.164634146
0.124917383,0.076923077,0.125570776,0.819923372,1,0.778519755,0.854709952,0.712807245,0.755962028,0.230350459,0.200942444,0.127031908
0.164847789,0.346885246,0.796743403,0.951822112,0.911282901,0.606707926,0.615737705,0.2421875,0.576421492,0.807788496,0.919022154,0.88085315
0.127455459,0.20952381,0.463527596,0.577342048,0.583333333,0.461206897,0.195097714,0.243704305,0.473577236,0.545943523,0.607641125,0.584334204
0.112507139,0.331029717,0.735981308,0.897544945,0.915184679,0.65471226,0.204127257,0.271794872,0.809110629,0.926690079,0.855704698,0.793767418
0.102479339,0.091743119,0.227793696,0.288220551,0.309340189,0.469451697,0.675932203,0.760252366,0.846878681,0.812154696,0.757455268,0.704918033
0.10647405,0.259640103,0.729110106,0.941140152,0.884174798,0.704947392,0.350554918,0.212321232,0.778176383,0.905877154,0.859634888,0.766516317
0.157037037,0.138674884,0.174208145,0.104404873,0.105211406,0.200934579,0.536155203,0.740300871,0.808769149,0.785051828,0.751633987,0.716157205
