NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
0.088052914,0.122912206,0.203631647,0.41318328,0.824613666,-0.012008734,0.707492795,0.553634326,0.678004535,0.601275917,0.558073654,0.26417004
0.153362361,0.30678733,0.199341021,0.344231667,0.56585471,-0.013706453,0.512479201,0.383123878,0.508258613,0.485458613,0.426386233,0.201608849
0.106066859,0.140156186,0.328443358,0.432595573,0.567783094,0.049462366,0.738597686,0.61337386,0.881895504,0.774640786,0.718518519,0.608508483
0.091541942,0.120096077,0.244057052,0.370084528,0.502906977,0.016403785,0.617542728,0.638212635,0.856498565,0.782227785,0.730698287,0.588018917
0.080412371,0.116872428,0.291828794,0.427347098,0.688564477,0.01211226,0.517152934,0.594713656,0.845493562,0.772516727,0.730694173,0.628959276
0.063387978,0.066744051,0.074197121,0.079323797,0.085353703,0.038098141,0.19661116,0.232683065,0.372628726,0.240764331,0.187080269,0.171193936
0.122259696,0.145382236,0.223788243,0.400679117,0.685598377,0.007856341,0.613385546,0.551898734,0.741935484,0.643022717,0.581338988,0.334677419
0.111413043,0.138345865,0.298701299,0.22417428,0.556113302,0.017780939,0.661276596,0.552955296,0.841194969,0.749555499,0.625263158,0.476713762
0.117669315,0.128758674,0.237375746,0.3200883,0.464668094,0.003899326,0.630839595,0.572670063,0.835355286,0.784803672,0.671609006,0.533264033
0.104302926,0.135072012,0.27150218,0.378900446,0.615528182,0.025089606,0.593810445,0.458144796,0.838626948,0.776340111,0.774737356,0.620333598
0.106158833,0.109737249,0.180062305,0.33748056,0.53674833,-0.006388804,0.711429523,0.513149847,0.786015164,0.70993865,0.691855808,0.60839895
0.054085155,0.061371841,0.066666667,0.056763285,0.060669456,0.008729389,0.130643612,0.105622701,0.124280393,0.092269327,0.08298911,0.102953586
0.09571243,0.077077077,0.307434695,0.574417687,1,-0.013721647,0.460770328,0.384516955,0.73993808,0.69133574,0.530685921,0.411324786
0.098009188,0.078254598,0.276568502,0.276344878,0.357609711,0.003873824,0.544994944,0.418611701,0.814668423,0.725989986,0.618435155,0.531409168
0.111380145,0.092468307,0.08959276,0.095461659,0.090431125,0.071508798,0.216931217,0.163797344,0.277987421,0.234693878,0.209262436,0.237809452
0.127874143,0.103825137,0.114685315,0.139138519,0.219434741,-3.34E-04,0.705374917,0.410424381,0.775566061,0.674636662,0.625448948,0.409162717
0.156006768,0.159944367,0.173235564,0.25,0.511947864,0.004857316,0.477797513,0.425206125,0.613918807,0.529626253,0.570321672,0.496676163
0.095038852,0.090453834,0.098994822,0.11328125,0.125810636,-0.034329307,0.284320104,0.122659176,0.234636872,0.171503958,0.170156072,0.227253843
0.089456869,0.116473318,0.112733171,0.221837088,0.375432526,0.010632345,0.577538361,0.100957354,0.827956989,0.661985472,0.515815085,0.477363897
0.118575476,0.085214858,0.398536773,0.650505755,0.349693252,-0.001645639,0.593019197,0.03032491,0.875082183,0.675281643,0.569945625,0.525864454
0.181628392,0.144499179,0.182545455,0.22173913,0.556920853,0.076589595,0.681833732,0.208494208,0.801704105,0.734497817,0.682524729,0.575581395
0.217000409,0.181296144,0.231095406,0.321981424,0.560283688,0.029331514,0.724039829,0.494674556,0.812126388,0.773913043,0.736220472,0.595835305
0.108382727,0.12907117,0.184993532,0.329819277,0.72176364,0.020189274,0.656830601,0.489570552,0.799331104,0.740671642,0.716150082,0.540540541
0.241433022,0.240634006,0.252356021,0.314602588,0.489603025,0.010759115,0.53669889,0.08411215,0.717687075,0.622306717,0.622402891,0.505703422
0.108085809,0.127943485,0.291364003,0.401709402,0.63917071,0.031736872,0.618100788,-0.054726368,0.75266327,0.687286897,0.529411765,0.433962264
0.159055118,0.127438231,0.174193548,0.205063291,0.36946464,0.041165756,0.493716338,0.345555556,0.668254656,0.564588979,0.541647059,0.334195774
0.129385965,0.109805135,0.143205363,0.167862267,0.413094051,-6.64E-04,0.507936508,0.372447512,0.634826712,0.593236261,0.525644113,0.229773463
0.14468995,0.123637496,0.165668663,0.1886196,0.563887878,0.042608134,0.491143317,0.369369369,0.685254027,0.545614035,0.481548975,0.337263158
0.102707349,0.10292887,0.212886084,0.396854764,0.936732415,0.023354565,0.661560385,-0.039110154,0.814912745,0.748204883,0.65014245,0.532033426
0.103529412,0.124941507,0.134175217,0.249890973,0.461813842,0.024251969,0.5230407,-0.046466224,0.698394755,0.654,0.556149733,0.474780702
0.106819078,0.083147499,0.083138173,0.139544513,0.261498029,0.037689327,0.359068627,-0.035783366,0.362195593,0.195903535,0.090280778,0.100201207
0.102892713,0.101829753,0.080786687,0.07351838,0.086419753,0.032414127,0.501014199,-0.03820103,0.504038772,0.319811662,0.117560617,0.112770138
0.085955487,0.080911233,0.089504185,0.069954128,0.071794872,0.142981691,0.182819383,0.01910828,0.20679705,0.137720706,0.096375618,0.096917935
0.189067765,0.171554252,0.193603266,0.192014519,0.308029197,0.103319657,0.405284704,0.11013986,0.409582689,0.314921366,0.338755592,0.304635762
0.223595903,0.147715197,0.157760814,0.170731707,0.469164715,0.09013209,0.645780514,0.110821382,0.590804598,0.431526686,0.321523472,0.306878307
0.135717363,0.114311431,0.211214953,0.459129728,0.885036496,0.044715447,0.707386364,-0.027751196,0.685496183,0.528775209,0.449502878,0.42459893
0.084945884,0.079166667,0.078377554,0.079714841,0.093567251,0.112865769,0.318455971,-0.01853436,0.387570621,0.203883495,0.087579618,0.091654247
0.09775525,0.072454907,0.082920792,0.06906272,0.110159119,0.254132231,0.228354695,-0.022196262,0.211033566,0.103628881,0.083647325,0.087000336
0.132781889,0.079193665,0.101612903,0.170686456,0.27297116,0.082575758,0.285714286,0.001048584,0.458879619,0.498697238,0.369875633,0.385892116
0.077077077,0.098930481,0.122874807,0.230966638,0.278752437,0.032399299,0.38372093,-0.031098154,0.619293712,0.550107527,0.50385208,0.419075145
0.066598882,0.071161049,0.081621906,0.061936937,0.054699947,0.109141274,0.150283554,-0.022940563,0.13345521,0.078919677,0.06740682,0.075888569
0.067903279,0.06993865,0.073546856,0.067025935,0.068535826,0.213326169,0.14562212,-0.001831502,0.22027027,0.088905775,0.08656284,0.102590674
0.113198685,0.100511073,0.076238882,0.121153846,0.075942645,-0.028248588,0.165829146,-0.050115652,0.162902451,0.111758989,0.096095076,0.107714184
0.094086022,0.126728111,0.146724085,0.290856434,0.557879553,0.100044072,0.608316566,0,0.717089125,0.63244176,0.574396943,0.509601182
