NDVI01,NDVI02,NDVI03,NDVI04,NDVI05,NDVI06,NDVI07,NDVI08,NDVI09,NDVI10,NDVI11,NDVI12
0.44294261,0.325106787,0.448911223,0.698455949,1,0.071374336,0.714939024,0.58810669,0.571894605,0.787697898,0.816301996,0.613883963
0.128121607,0.352553542,0.533024821,0.647528264,1,0.052377671,0.53458096,0.511705686,0.562396921,0.275248719,0.553358682,0.565553943
0.400910616,0.406091371,0.443298969,0.535023636,0.978224456,0.073414113,0.387755102,0.484515485,0.605432099,0.570826868,0.636029412,0.553674833
0.390117035,0.728009259,0.760037568,0.786063027,1,0.059971098,0.555361813,0.699239321,0.893970894,0.942492013,0.869822485,0.759205627
0.117679866,0.111499781,0.102671119,0.126738794,0.144219309,0.077910174,0.204506658,0.600983204,0.762850467,0.838978345,0.824411135,0.738953784
0.141550772,0.437898089,0.506092608,0.616881594,0.319722931,0.261685215,0.218637993,0.763664758,0.854043393,0.837299391,0.79562786,0.700205339
0.240647387,0.255626082,0.455582722,0.668016194,0.39184466,0.138936535,0.303590101,0.743559719,0.839632829,0.858376511,0.828103683,0.712506487
0.208130081,0.194991055,0.164067374,0.237188873,0.133419689,0.096774194,0.390774587,0.789620536,0.819605568,0.852737571,0.802879291,0.652028905
0.156257966,0.130134025,0.573154362,0.703703704,0.205619413,0.129976019,0.310602522,0.673008323,0.850714664,0.875893623,0.84,0.74181024
0.162848813,0.144114411,0.143686502,0.158084264,0.127371274,0.091528724,0.372781065,0.817371938,0.884350133,0.871382637,0.795735129,0.623762376
0.825272221,0.66840972,0.178378378,0.144395826,0.190124417,0.080985915,0.370810811,0.776219854,0.830290011,0.855760225,0.787484036,0.582526682
0.818181818,0.679307256,0.172039116,0.171165015,0.193452845,0.110530896,0.368653422,0.736857225,0.825210999,0.85199241,0.804956035,0.59823971
0.151079137,0.158657513,0.155065472,0.210907836,0.139427516,0.14801061,0.451354445,0.819116136,0.865439908,0.87202473,0.802669458,0.611364789
0.802469136,0.66716108,0.2,0.272162815,0.170272813,0.162650602,0.371868979,0.667467774,0.844102564,0.861768369,0.804382683,0.600216099
0.840515106,0.677349267,0.465147098,0.176108374,0.224813896,0.109022556,0.166822868,0.507945851,0.760487145,0.895486936,0.83370343,0.686017163
0.824813768,0.694895922,0.480577137,0.226781857,0.245670996,0.047141424,0.309778143,0.491775383,0.79378882,0.910049972,0.83368669,0.682627225
0.850934693,0.731780005,0.541274817,0.212598425,0.223014257,0.071520343,0.219512195,0.288782816,0.790299158,0.918572225,0.847166706,0.709567751
0.836695485,0.706696182,0.51638667,0.231098431,0.267875126,0.068396226,0.341148886,0.284438176,0.741656366,0.892042293,0.860421546,0.745758878
0.867910631,0.744541485,0.585438739,0.309917355,0.299947285,0.049862583,0.181864493,0.342770475,0.753771877,0.897377423,0.850012057,0.728046704
0.876132191,0.74263904,0.573647563,0.234745154,0.237801746,0.034811636,0.244693632,0.235643564,0.775534442,0.903301887,0.841563786,0.716822891
0.848081441,0.71728972,0.528801843,0.253449528,0.28280543,0.118967989,0.27552227,0.465919701,0.798929209,0.92,0.833758997,0.700663554
0.847070506,0.710337203,0.548677546,0.237399562,0.233333333,0.070754717,0.22610483,0.516632323,0.784307596,0.909879653,0.838054769,0.696190005
0.851485149,0.715841045,0.564270153,0.248417132,0.249341065,0.08460076,0.206982544,0.520187244,0.822757112,0.913984033,0.83049307,0.676470588
0.862261753,0.731494512,0.587905935,0.266471449,0.27510917,0.092444444,0.275692074,0.506493506,0.77737337,0.902847571,0.825147348,0.679012346
0.868656716,0.756203981,0.565147019,0.228592703,0.230925738,0.160372732,0.249809015,0.351869607,0.797719965,0.895439377,0.840375587,0.712328767
0.871046825,0.773874863,0.605855245,0.240377633,0.275504637,0.04,0.1735455,0.242850218,0.746674378,0.871132557,0.845996419,0.720029419
0.877755511,0.770690129,0.594043023,0.260431655,0.246994536,0.111525898,0.238593867,0.379888268,0.720266413,0.858484659,0.821289821,0.702811245
0.867417456,0.752212389,0.568369028,0.241625089,0.253543307,0.074503311,0.232067511,0.432395016,0.777185185,0.893463864,0.833527087,0.69348659
0.866036249,0.747773628,0.581818182,0.292914536,0.263765076,0.097368421,0.153021442,0.395604396,0.758631612,0.873402313,0.799737877,0.633540373
0.855445545,0.732678669,0.582160871,0.255430712,0.250135062,0.111623616,0.271929825,0.483953787,0.78561354,0.89393111,0.82513139,0.656242054
0.875711359,0.793492185,0.622979358,0.397946085,0.267556587,0.053531264,0.364102564,0.469387755,0.272394881,0.753303965,0.896380412,0.857075248
0.909823568,0.789143546,0.651468131,0.309331374,0.304033715,0.097802671,0.33545108,0.404805915,0.203694701,0.563816605,0.835552075,0.821701477
0.9,0.789816905,0.636138,0.240460327,0.152757443,0.063374486,0.286099345,0.734409391,0.819924338,0.813734713,0.702813176,0.285272004
0.86836518,0.744855967,0.595865633,0.203663793,0.14741421,0.071986123,0.21304532,0.680535629,0.818586533,0.854759568,0.743925234,0.291675676
0.84765279,0.720777581,0.523517382,0.213809812,0.171171171,0.110095934,0.247482014,0.84864392,0.869799315,0.9100271,0.832783278,0.699474766
0.845751634,0.715105163,0.494241362,0.218249075,0.191513761,0.084577114,0.325626204,0.895781638,0.902534113,0.927995701,0.845637584,0.675061932
0.861459786,0.758130081,0.589928058,0.223060345,0.159786304,0.058394161,0.364329822,0.733564014,0.847194813,0.857410882,0.783359498,0.322737307
0.886148008,0.791728949,0.637274549,0.219239374,0.15529179,0.063866267,0.30229065,0.781710914,0.842592593,0.831784176,0.727418248,0.277556441
0.891209548,0.795275591,0.637506042,0.223447475,0.164310093,0.059259259,0.214936783,0.838641189,0.8492569,0.82090229,0.744623047,0.278271919
0.725984252,0.628235294,0.386503067,0.174044266,0.195979899,0.063193439,0.279327933,0.865102639,0.869294606,0.85348895,0.773072497,0.288426763
0.281131599,0.796479176,0.77834886,0.472537449,0.455805893,0.062068966,0.373944954,0.336502905,0.786053487,0.881009043,0.876363636,0.766487543
0.847127996,0.744147553,0.606032045,0.321139641,0.245421245,0.081876725,0.201664355,0.457765668,0.76498801,0.851301115,0.891025641,0.776431996
0.847927289,0.760982522,0.623453962,0.315519013,0.22829582,0.087431694,0.221576763,0.586608443,0.793592288,0.883153715,0.869032742,0.759172618
0.882665486,0.792811839,0.641680204,0.362738644,0.300831444,0.086175943,0.224102107,0.614457831,0.784683685,0.873552983,0.837511326,0.744693058
0.900935859,0.773611437,0.617307692,0.263294423,0.241942064,0.076124567,0.256385998,0.766440813,0.839726362,0.902976847,0.865807837,0.746829147
0.895068678,0.781853282,0.612524462,0.278167713,0.232472325,0.066863324,0.303793627,0.721938776,0.82537589,0.885957447,0.873933388,0.738422392
0.885017422,0.780313837,0.609036861,0.325484765,0.256586948,0.078983834,0.292825769,0.656292287,0.801522248,0.869246555,0.846573681,0.726303982
0.859381997,0.745247148,0.609535161,0.294713975,0.225546218,0.106598985,0.188651653,0.602280827,0.815261044,0.876515365,0.853352354,0.750408719
0.852181656,0.741617357,0.592176039,0.366855524,0.286836935,0.097459584,0.220415031,0.582938389,0.796620584,0.861313869,0.888067582,0.785161129
0.861946903,0.696323921,0.462091865,0.213924051,0.137931034,0.08423913,0.229888712,0.858630137,0.867886179,0.897695334,0.837394564,0.675889328
0.86962306,0.690111601,0.440214477,0.202815099,0.170152629,0.106106106,0.157692308,0.826115702,0.892226148,0.930494371,0.867292511,0.739663789
0.227102804,0.21816828,0.121140143,0.183747178,0.294446664,0.154010695,0.27318861,0.688576899,0.896049896,0.91136108,0.887951547,0.799648506
0.813711584,0.58552196,0.480994838,0.349005425,0.305401312,0.118428654,0.20719312,0.563946407,0.853498713,0.921329098,0.92998713,0.814980042
0.847450485,0.659300184,0.44950495,0.212967581,0.14869281,0.08180466,0.1994077,0.550155763,0.8326883,0.884066768,0.875542692,0.760042006
0.846575342,0.68598316,0.434116445,0.195630586,0.166390728,0.14011128,0.167070218,0.535726982,0.883022447,0.892788768,0.881217968,0.754385965
0.171962617,0.20452937,0.106849315,0.143633277,0.307301835,0.146853147,0.199455782,0.781978576,0.922691768,0.935599284,0.920157068,0.822465292
